SKU,Item Name,Store,Total Units Sold (full window),"Units Sold (last 90 days, this store)",Avg Daily Units (this store),Gappy Sales Pattern,Spiky Sales Pattern,Suggested Par Level
632565000012,FIJI 500ML SINGLE,(Las Olas) Ocean Wine & Spirits ,40.0,16.0,0.178,,,2
632565000012,FIJI 500ML SINGLE,Beach Liquors & Cigars ,40.0,20.0,0.222,,,2
632565000012,FIJI 500ML SINGLE,Warehouse,40.0,0,0.0,,,0
LIMES,LIMES,(Bayview/Coral Ridge) Ocean Wine & Spirits ,39.0,14.0,0.156,,,2
LIMES,LIMES,(FTL Beach/A1A) Ocean Wine & Spirits ,39.0,10.0,0.111,,,2
LIMES,LIMES,(Las Olas) Ocean Wine & Spirits ,39.0,12.0,0.133,,,2
LIMES,LIMES,Beach Liquors & Cigars ,39.0,3.0,0.033,,,1
LIMES,LIMES,Warehouse,39.0,0,0.0,,,0
898999010007,VITA COCO COCONUT WATER 500ML CARTON,(Bayview/Coral Ridge) Ocean Wine & Spirits ,37.0,3.0,0.033,,,1
898999010007,VITA COCO COCONUT WATER 500ML CARTON,(FTL Beach/A1A) Ocean Wine & Spirits ,37.0,11.0,0.122,,,2
898999010007,VITA COCO COCONUT WATER 500ML CARTON,(Las Olas) Ocean Wine & Spirits ,37.0,7.0,0.078,,,1
898999010007,VITA COCO COCONUT WATER 500ML CARTON,Beach Liquors & Cigars ,37.0,16.0,0.178,,,2
898999010007,VITA COCO COCONUT WATER 500ML CARTON,Warehouse,37.0,0,0.0,,,0
674545000421,DON JULIO REPO 50ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,37.0,5.0,0.056,,,1
674545000421,DON JULIO REPO 50ML,(FTL Beach/A1A) Ocean Wine & Spirits ,37.0,8.0,0.089,,,1
674545000421,DON JULIO REPO 50ML,(Las Olas) Ocean Wine & Spirits ,37.0,12.0,0.133,,,2
674545000421,DON JULIO REPO 50ML,Beach Liquors & Cigars ,37.0,12.0,0.133,,,2
674545000421,DON JULIO REPO 50ML,Warehouse,37.0,0,0.0,,,0
31200009906,OCEAN SPRAY CRANBERRY 15.2FL OZ,(Bayview/Coral Ridge) Ocean Wine & Spirits ,36.0,9.0,0.1,,,1
31200009906,OCEAN SPRAY CRANBERRY 15.2FL OZ,(FTL Beach/A1A) Ocean Wine & Spirits ,36.0,6.0,0.067,,,1
31200009906,OCEAN SPRAY CRANBERRY 15.2FL OZ,(Las Olas) Ocean Wine & Spirits ,36.0,8.0,0.089,,,1
31200009906,OCEAN SPRAY CRANBERRY 15.2FL OZ,Beach Liquors & Cigars ,36.0,13.0,0.144,,,2
31200009906,OCEAN SPRAY CRANBERRY 15.2FL OZ,Warehouse,36.0,0,0.0,,,0
1852424,MICHELOB ULTRA 16OZ CAN,(Bayview/Coral Ridge) Ocean Wine & Spirits ,36.0,0,0.0,,,0
1852424,MICHELOB ULTRA 16OZ CAN,(FTL Beach/A1A) Ocean Wine & Spirits ,36.0,0,0.0,,,0
1852424,MICHELOB ULTRA 16OZ CAN,(Las Olas) Ocean Wine & Spirits ,36.0,13.0,0.144,,,2
1852424,MICHELOB ULTRA 16OZ CAN,Beach Liquors & Cigars ,36.0,23.0,0.256,,,3
1852424,MICHELOB ULTRA 16OZ CAN,Warehouse,36.0,0,0.0,,,0
8588005,NEW AMSTERDAM VODKA 80 50ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,35.0,0,0.0,,,0
8588005,NEW AMSTERDAM VODKA 80 50ML,(FTL Beach/A1A) Ocean Wine & Spirits ,35.0,7.0,0.078,,,1
8588005,NEW AMSTERDAM VODKA 80 50ML,(Las Olas) Ocean Wine & Spirits ,35.0,17.0,0.189,,,2
8588005,NEW AMSTERDAM VODKA 80 50ML,Beach Liquors & Cigars ,35.0,11.0,0.122,,,2
8588005,NEW AMSTERDAM VODKA 80 50ML,Warehouse,35.0,0,0.0,,,0
490450,DIET COKE 20OZ,(Bayview/Coral Ridge) Ocean Wine & Spirits ,34.0,0,0.0,,,0
490450,DIET COKE 20OZ,(FTL Beach/A1A) Ocean Wine & Spirits ,34.0,12.0,0.133,,,2
490450,DIET COKE 20OZ,(Las Olas) Ocean Wine & Spirits ,34.0,15.0,0.167,,,2
490450,DIET COKE 20OZ,Beach Liquors & Cigars ,34.0,7.0,0.078,,,1
490450,DIET COKE 20OZ,Warehouse,34.0,0,0.0,,,0
210000000884,RED BULL 8.4OZ,(Bayview/Coral Ridge) Ocean Wine & Spirits ,34.0,3.0,0.033,,,1
210000000884,RED BULL 8.4OZ,(FTL Beach/A1A) Ocean Wine & Spirits ,34.0,2.0,0.022,,,1
210000000884,RED BULL 8.4OZ,(Las Olas) Ocean Wine & Spirits ,34.0,11.0,0.122,,,2
210000000884,RED BULL 8.4OZ,Beach Liquors & Cigars ,34.0,18.0,0.2,,,2
210000000884,RED BULL 8.4OZ,Warehouse,34.0,0,0.0,,,0
70137100188,BLACK & MILD REGULAR PLASTIC SINGLE,(Bayview/Coral Ridge) Ocean Wine & Spirits ,34.0,0,0.0,,,0
70137100188,BLACK & MILD REGULAR PLASTIC SINGLE,(FTL Beach/A1A) Ocean Wine & Spirits ,34.0,5.0,0.056,,,1
70137100188,BLACK & MILD REGULAR PLASTIC SINGLE,(Las Olas) Ocean Wine & Spirits ,34.0,5.0,0.056,,,1
70137100188,BLACK & MILD REGULAR PLASTIC SINGLE,Beach Liquors & Cigars ,34.0,24.0,0.267,,,3
70137100188,BLACK & MILD REGULAR PLASTIC SINGLE,Warehouse,34.0,0,0.0,,,0
210000009094,TIP TOP BEE'S KNEES Single Can 100ml,(Bayview/Coral Ridge) Ocean Wine & Spirits ,33.0,0,0.0,,,0
210000009094,TIP TOP BEE'S KNEES Single Can 100ml,(FTL Beach/A1A) Ocean Wine & Spirits ,33.0,0,0.0,,,0
210000009094,TIP TOP BEE'S KNEES Single Can 100ml,(Las Olas) Ocean Wine & Spirits ,33.0,33.0,0.367,,,4
